.rownames,Disorder id,Disorder name,Human gene symbol,Mouse model description,PhenoDigm % score,Matching human phenotypes,Matching mouse phenotypes
1389,OMIM:618089,Intellectual Developmental Disorder With Dysmorphic Facies And Behavioral Abnormalities,FBXO11,Fbxo11<Jf> het early,37.95,"HP:0002020,HP:0000752,HP:0000938,HP:0001513,HP:0002013,HP:0004442,HP:0002019,HP:0001382,HP:0005617","MP:0002896,MP:0001399,MP:0003866,MP:0003960"
1390,OMIM:618089,Intellectual Developmental Disorder With Dysmorphic Facies And Behavioral Abnormalities,FBXO11,Fbxo11<tm2b(EUCOMM)Wtsi> het early,42.045,"HP:0001763,HP:0000752,HP:0001769,HP:0001773,HP:0045075,HP:0001869,HP:0000347,HP:0003100,HP:0000527,HP:0000637,HP:0000286,HP:0011229,HP:0200055,HP:0002553,HP:0010749,HP:0045025,HP:0001852,HP:0001166,HP:0001182,HP:0004279,HP:0009836,HP:0001500,HP:0000494,HP:0030084,HP:0005617,HP:0001770","MP:0001399,MP:0002764,MP:0005287"
1391,OMIM:618090,Neurodevelopmental Disorder With Epilepsy And Hypoplasia Of The Corpus Callosum,LNPK,Lnpk<em1(IMPC)Bay> hom early,55.62,"HP:0000752,HP:0002540,HP:0001310,HP:0002066,HP:0001288","MP:0002574,MP:0001399"
1392,OMIM:618091,Spermatogenic Failure 29,SPINK2,Spink2<tm1.1(KOMP)Vlcg> hom early,67.54,"HP:0012208,HP:0011961,HP:0003251","MP:0001925,MP:0002631"
1393,OMIM:618092,"Intellectual Developmental Disorder With Speech Delay, Dysmorphic Facies, And T-Cell Abnormalities",BCL11B,Bcl11b<tm1.1(KOMP)Vlcg> het early,24.58,HP:0002317,MP:0002574
1394,OMIM:618092,"Intellectual Developmental Disorder With Speech Delay, Dysmorphic Facies, And T-Cell Abnormalities",BCL11B,Bcl11b<tm1.1(KOMP)Vlcg> hom embryo,37.655,"HP:0045074,HP:0012745,HP:0000286",MP:0009263
1395,OMIM:618107,"Osteopetrosis, Autosomal Dominant 3",PLEKHM1,Plekhm1<tm1b(EUCOMM)Hmgu> hom early,38.655,"HP:0000938,HP:0002757","MP:0010123,MP:0000062"
1396,OMIM:618116,Bone Marrow Failure Syndrome 4,MYSM1,Mysm1<tm1a(KOMP)Wtsi> het early,35.865,"HP:0001903,HP:0001873,HP:0001882",MP:0002590
1397,OMIM:618116,Bone Marrow Failure Syndrome 4,MYSM1,Mysm1<tm1a(KOMP)Wtsi> hom early,47.69,"HP:0001903,HP:0008905,HP:0004313,HP:0005528,HP:0001873,HP:0001882","MP:0002590,MP:0002875,MP:0008501,MP:0000556,MP:0005015,MP:0005505,MP:0008074,MP:0002874,MP:0000572,MP:0008502,MP:0005564,MP:0000322,MP:0005641,MP:0000221,MP:0005017,MP:0008211,MP:0000208,MP:0002492"
1398,OMIM:618145,"Deafness, Autosomal Recessive 111",MPZL2,Mpzl2<tm1b(EUCOMM)Hmgu> hom early,24.515,HP:0000408,MP:0002102
1399,OMIM:618162,"Spondyloepimetaphyseal Dysplasia, Krakow Type",SIK3,Sik3<tm1a(EUCOMM)Hmgu> hom early,32.805,"HP:0000767,HP:0006380,HP:0008905,HP:0003025,HP:0010582,HP:0002694,HP:0003049,HP:0004691,HP:0003027,HP:0034391,HP:0004209,HP:0008788,HP:0001156","MP:0000558,MP:0000559,MP:0002187,MP:0003795,MP:0004509,MP:0005108,MP:0000552,MP:0000150,MP:0010025,MP:0005296,MP:0002932"
1400,OMIM:618164,"Cardiac, Facial, And Digital Anomalies With Developmental Delay",TRAF7,Traf7<em1(IMPC)Tcp> het early,20.955,HP:0000648,MP:0001325
1401,OMIM:618179,"Microcephaly 24, Primary, Autosomal Recessive",NUP37,Nup37<tm1.1(KOMP)Vlcg> hom late,37.855,HP:0004209,MP:0000572
1402,OMIM:618182,Orthostatic Hypotension 2,CYB561,Cyb561<tm1a(EUCOMM)Wtsi> hom early,34.31,HP:0001903,"MP:0003131,MP:0002608,MP:0005564"
1403,OMIM:618182,Orthostatic Hypotension 2,CYB561,Cyb561<tm1b(EUCOMM)Wtsi> hom early,39.805,HP:0001943,"MP:0013278,MP:0005560"
1404,OMIM:618184,"Neuropathy, Congenital Hypomyelinating, 2",MPZ,Mpz<em1(IMPC)Tcp> hom early,42.355,HP:0002540,"MP:0001406,MP:0001402"
1405,OMIM:618187,Ovarian Dysgenesis 8,ESR2,Esr2<em1(IMPC)Marc> hom early,39.625,"HP:0003782,HP:0000939","MP:0010124,MP:0003961,MP:0000063"
1406,OMIM:618205,Snijders Blok-Campeau Syndrome,CHD3,Chd3<em1(IMPC)J> hom early,38.295,"HP:0007018,HP:0000733",MP:0001399
1407,OMIM:618219,"Polydactyly, Postaxial, Type A9",CIBAR1,Cibar1<tm1b(KOMP)Wtsi> hom early,30.29,"HP:0001162,HP:0001830",MP:0005296
1408,OMIM:618220,Retinitis Pigmentosa 84,DHX38,Dhx38<em1(IMPC)J> het early,17.335,HP:0007737,MP:0002075
1409,OMIM:618221,"Intellectual Developmental Disorder, Autosomal Recessive 66",FERRY3,D6Wsu163e<tm1b(EUCOMM)Wtsi> hom early,35.055,"HP:0000718,HP:0001382,HP:0007018","MP:0000063,MP:0011939"
1410,OMIM:618225,"Mitochondrial Complex I Deficiency, Nuclear Type 4",NDUFV1,Ndufv1<tm1.1(KOMP)Vlcg> het early,31.705,HP:0001254,MP:0001399
1411,OMIM:618226,"Mitochondrial Complex I Deficiency, Nuclear Type 5",NDUFS1,Ndufs1<tm1b(EUCOMM)Hmgu> het early,38.09,"HP:0000648,HP:0001251,HP:0001254","MP:0002757,MP:0002699,MP:0001402,MP:0001325"
1412,OMIM:618230,"Mitochondrial Complex I Deficiency, Nuclear Type 8",NDUFS3,Ndufs3<tm1a(EUCOMM)Wtsi> het early,28.98,"HP:0002530,HP:0001332",MP:0001488
1413,OMIM:618232,"Mitochondrial Complex I Deficiency, Nuclear Type 9",NDUFS6,Ndufs6<em1(IMPC)Bay> hom early,25.46,HP:0003811,MP:0011100
1414,OMIM:618232,"Mitochondrial Complex I Deficiency, Nuclear Type 9",NDUFS6,Ndufs6<em1(IMPC)Bay> hom embryo,25.46,HP:0003811,MP:0002080
1415,OMIM:618238,"Mitochondrial Complex I Deficiency, Nuclear Type 16",NDUFAF5,Ndufaf5<em1(IMPC)Bay> het early,26.74,HP:0001266,MP:0001392
1416,OMIM:618254,"Ciliary Dyskinesia, Primary, 39",LRRC56,Lrrc56<em1(IMPC)Tcp> hom early,55.855,"HP:0001651,HP:0001719,HP:0002110,HP:0002783","MP:0006065,MP:0001175"
1417,OMIM:618265,"Arthrogryposis, Cleft Palate, Craniosynostosis, And Impaired Intellectual Development",PPP3CA,Ppp3ca<tm2e(EUCOMM)Wtsi> hom early,24.46,HP:0004325,MP:0001260
1418,OMIM:618272,"Global Developmental Delay, Lung Cysts, Overgrowth, And Wilms Tumor",DICER1,Dicer1<tm1b(EUCOMM)Wtsi> het early,17.125,HP:0001520,MP:0003961
1419,OMIM:618280,Cardiac-Urogenital Syndrome,MYRF,Myrf<em1(IMPC)Bay> het embryo,12.62,HP:0010479,"MP:0003984,MP:0001697"
1420,OMIM:618280,Cardiac-Urogenital Syndrome,MYRF,Myrf<em1(IMPC)Bay> hom embryo,12.91,HP:0010479,"MP:0003984,MP:0001697,MP:0001700"
1421,OMIM:618298,Developmental And Epileptic Encephalopathy 70,PHACTR1,Phactr1<em1(IMPC)Mbp> hom late,36.47,HP:0000028,MP:0002059
1422,OMIM:618307,Immunodeficiency 129,RHOH,Rhoh<tm1b(EUCOMM)Hmgu> hom early,31.62,HP:0031514,MP:0000221
1423,OMIM:618321,"Encephalopathy, Progressive, Early-Onset, With Brain Edema And/Or Leukoencephalopathy, 2",NAXD,Naxd<em1(IMPC)Bay> het early,33.525,"HP:0000718,HP:0002066,HP:0001254,HP:0001251","MP:0001402,MP:0001410"
1424,OMIM:618329,Combined Oxidative Phosphorylation Deficiency 37,MICOS13,Micos13<tm1.1(KOMP)Vlcg> het early,23.37,"HP:0003348,HP:0003073","MP:0005179,MP:0000198,MP:0005554,MP:0000186"
1425,OMIM:618358,Cone-Rod Dystrophy And Hearing Loss 2,CEP250,Cep250<tm1a(EUCOMM)Wtsi> hom early,25.2,HP:0001757,MP:0004738
1426,OMIM:618362,Coffin-Siris Syndrome 8,SMARCC2,Smarcc2<em1(IMPC)J> het early,33.07,"HP:0000718,HP:0000752,HP:0100716",MP:0020870
1427,OMIM:618369,"Spinocerebellar Ataxia, Autosomal Recessive 27",GDAP2,Gdap2<em1(IMPC)Wtsi> hom early,23.225,HP:0000473,MP:0006358
1428,OMIM:618371,Turnpenny-Fry Syndrome,PCGF2,Pcgf2<tm1b(KOMP)Mbp> het early,23.295,"HP:0002938,HP:0005659",MP:0003049
1429,OMIM:618373,"Cancer, Alopecia, Pigment Dyscrasia, Onychodystrophy, And Keratoderma",SASH1,Sash1<em1(IMPC)Bay> het early,21.995,HP:0000524,MP:0002792
1430,OMIM:618374,Developmental And Epileptic Encephalopathy 72,NEUROD2,Neurod2<em1(IMPC)Hmgu> het early,34.02,"HP:0002015,HP:0000483","MP:0001303,MP:0001399"
1431,OMIM:618374,Developmental And Epileptic Encephalopathy 72,NEUROD2,Neurod2<em1(IMPC)Hmgu> hom early,49.2,"HP:0002015,HP:0002540,HP:0000483","MP:0001304,MP:0001314,MP:0001402,MP:0011940,MP:0002797,MP:0002757,MP:0001312,MP:0001303,MP:0001363,MP:0005544,MP:0001392,MP:0001399"
1432,OMIM:618384,"Leukoencephalopathy, Acute Reversible, With Increased Urinary Alpha-Ketoglutarate",SLC13A3,Slc13a3<tm1b(KOMP)Wtsi> hom early,24.775,HP:0034649,MP:0005553
1433,OMIM:618394,Immunodeficiency 60 And Autoimmunity,BACH2,Bach2<tm1a(EUCOMM)Wtsi> hom early,55.58,"HP:0001876,HP:0030374,HP:0031808,HP:0001744","MP:0013435,MP:0013022,MP:0005425,MP:0010851,MP:0013514,MP:0013154,MP:0013430,MP:0013157,MP:0008174,MP:0005505,MP:0013433,MP:0013654,MP:0010850,MP:0008214,MP:0005017,MP:0008211,MP:0004974,MP:0005011,MP:0013025,MP:0012767,MP:0013427,MP:0013426,MP:0013651,MP:0008044,MP:0013424,MP:0000219,MP:0010835,MP:0000220,MP:0010838,MP:0013649,MP:0013772,MP:0013517"
1434,OMIM:618394,Immunodeficiency 60 And Autoimmunity,BACH2,Bach2<tm1b(EUCOMM)Wtsi> hom early,49.58,"HP:0001876,HP:0030374,HP:0031808,HP:0001744","MP:0013435,MP:0013514,MP:0013675,MP:0013510,MP:0008174,MP:0008207,MP:0013669,MP:0010850,MP:0005017,MP:0008190,MP:0008040,MP:0005011,MP:0008045,MP:0008168,MP:0013513,MP:0008039,MP:0000220,MP:0013649,MP:0008182,MP:0000322"
1435,OMIM:618397,Combined Oxidative Phosphorylation Deficiency 39,GFM2,Gfm2<em1(IMPC)Mbp> het early,15.495,HP:0100651,MP:0000639
1436,OMIM:618398,"T-Cell Lymphoma, Subcutaneous Panniculitis-Like",HAVCR2,Havcr2<tm1b(KOMP)Wtsi> hom early,42.63,"HP:0001744,HP:0001903,HP:0001876,HP:0012156",MP:0004952
1437,OMIM:618400,"Charcot-Marie-Tooth Disease, Axonal, Type 2Ee",MPV17,Mpv17<em1(IMPC)J> hom early,25.015,HP:0008180,MP:0005565
1438,OMIM:618430,Developmental Delay With Variable Intellectual Impairment And Behavioral Abnormalities,TCF20,Tcf20<em1(IMPC)Wtsi> hom early,16.655,HP:0001513,MP:0003961
1439,OMIM:618431,"Hydatidiform Mole, Recurrent, 3",MEI1,Mei1<em1(IMPC)Bay> hom early,72.725,HP:0008222,"MP:0001925,MP:0001926"
1440,OMIM:618438,"Spastic Ataxia 9, Autosomal Recessive",CHP1,Chp1<em1(IMPC)Tcp> het embryo,21.21,HP:0001510,MP:0003984
1441,OMIM:618438,"Spastic Ataxia 9, Autosomal Recessive",CHP1,Chp1<em1(IMPC)Tcp> hom embryo,21.11,HP:0001510,MP:0003984
1442,OMIM:618440,Oculoskeletodental Syndrome,PIK3C2A,Pik3c2a<tm1b(EUCOMM)Hmgu> het early,25.52,HP:0001744,"MP:0000219,MP:0000702,MP:0005016"
1443,OMIM:618440,Oculoskeletodental Syndrome,PIK3C2A,Pik3c2a<tm1b(EUCOMM)Hmgu> hom embryo,17.695,HP:0004322,MP:0003984
1444,OMIM:618449,"Ciliary Dyskinesia, Primary, 41",GAS2L2,Gas2l2<tm1a(KOMP)Wtsi> hom early,52.11,"HP:0012208,HP:0000789,HP:0000403","MP:0001925,MP:0001926,MP:0004738"
1445,OMIM:618459,Immunodeficiency 62,ARHGEF1,Arhgef1<tm1a(EUCOMM)Wtsi> hom early,56.205,"HP:0001973,HP:0030381,HP:0010976,HP:0030374","MP:0005564,MP:0008079,MP:0013417,MP:0013666,MP:0013669,MP:0013433,MP:0008346,MP:0010850,MP:0013025,MP:0012767,MP:0008074,MP:0008127,MP:0010835,MP:0000220,MP:0010838,MP:0013673,MP:0013522,MP:0008182,MP:0003131,MP:0008524,MP:0013679,MP:0002608"
1446,OMIM:618462,"Bleeding Disorder, Platelet-Type, 22",EPHB2,Ephb2<em1(IMPC)Mbp> hom early,15.585,HP:0001873,"MP:0000692,MP:0000691"
1447,OMIM:618468,Developmental And Epileptic Encephalopathy 76,ACTL6B,Actl6b<em1(IMPC)J> het early,34.19,HP:0010841,MP:0004738
1448,OMIM:618494,"Congenital Hypotonia, Epilepsy, Developmental Delay, And Digital Anomalies",ATN1,Atn1<tm1b(EUCOMM)Wtsi> hom early,37.54,"HP:0001629,HP:0001631,HP:0002540,HP:0001627,HP:0001655","MP:0001406,MP:0000266"
1449,OMIM:618495,Immunodeficiency 63 With Lymphoproliferation And Autoimmunity,IL2RB,Il2rb<tm1b(EUCOMM)Hmgu> hom early,14.85,HP:0000403,MP:0002102
1450,OMIM:618497,Neurodevelopmental Disorder With Seizures And Nonepileptic Hyperkinetic Movements,CACNA1B,Cacna1b<tm1b(KOMP)Wtsi> hom early,45.82,"HP:0001266,HP:0003763,HP:0002540,HP:0012171","MP:0001406,MP:0001364,MP:0020870,MP:0001392,MP:0001399"
1451,OMIM:618501,Cerebellar Atrophy With Seizures And Variable Developmental Delay,CACNA2D2,Cacna2d2<em1(IMPC)Mbp> hom early,47.06,"HP:0002540,HP:0002066,HP:0001310,HP:0002072,HP:0001251","MP:0000745,MP:0001406"
1452,OMIM:618504,"Intellectual Developmental Disorder, Autosomal Recessive 71",ALKBH8,Alkbh8<tm1b(EUCOMM)Hmgu> hom early,22.725,"HP:0000054,HP:0000122",MP:0002135
1453,OMIM:618506,Intellectual Developmental Disorder With Speech Delay And Dysmorphic Facies,SOX4,Sox4<em1(IMPC)Mbp> hom embryo,26.025,HP:0001629,MP:0000266
1454,OMIM:618523,"Hyper-Ige Syndrome 4B, Autosomal Recessive, With Recurrent Infections",IL6ST,Il6st<tm1b(KOMP)Mbp> het early,16.345,HP:0001880,MP:0005641
1455,OMIM:618529,"Robinow Syndrome, Autosomal Recessive 2",NXN,Nxn<tm1b(EUCOMM)Wtsi> het early,40.22,"HP:0003196,HP:0001852,HP:0000431,HP:0010055,HP:0000347,HP:0030084,HP:0000527,HP:0001212,HP:0012385,HP:0003027,HP:0001156,HP:0011304","MP:0001340,MP:0002764,MP:0000443,MP:0002110,MP:0000627"
1456,OMIM:618529,"Robinow Syndrome, Autosomal Recessive 2",NXN,Nxn<tm1b(EUCOMM)Wtsi> hom embryo,41.24,"HP:0000207,HP:0010292,HP:0000185,HP:0000212,HP:0000164,HP:0000343,HP:0002007","MP:0000111,MP:0011495,MP:0008797"
1457,OMIM:618529,"Robinow Syndrome, Autosomal Recessive 2",NXN,Nxn<em1(IMPC)J> hom embryo,40.31,"HP:0000207,HP:0000185,HP:0010292,HP:0000164,HP:0000212,HP:0000343","MP:0000111,MP:0008797"
1458,OMIM:618529,"Robinow Syndrome, Autosomal Recessive 2",NXN,Nxn<em1(IMPC)Bay> hom embryo,30.575,"HP:0000185,HP:0002007","MP:0011495,MP:0008797"
1459,OMIM:618535,"Ectodermal Dysplasia 15, Hypohidrotic/Hair Type",CST6,Cst6<em1(IMPC)Ccpcz> het early,13.025,HP:0000982,MP:0002110
1460,OMIM:618548,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 4,PIGQ,Pigq<tm2b(EUCOMM)Wtsi> het early,22.47,HP:0000483,MP:0011960
1461,OMIM:618548,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 4,PIGQ,Pigq<tm2b(EUCOMM)Wtsi> hom embryo,26.515,"HP:0001561,HP:0009909","MP:0009806,MP:0001785"
1462,OMIM:618557,Developmental And Epileptic Encephalopathy 78,GABRA2,Gabra2<em1(IMPC)H> hom early,27.645,HP:0002540,MP:0001402
1463,OMIM:618557,Developmental And Epileptic Encephalopathy 78,GABRA2,Gabra2<em1(IMPC)H> hom late,28.515,HP:0002540,MP:0001402
1464,OMIM:618590,"Neurodevelopmental Disorder With Brain Anomalies, Seizures, And Scoliosis",PIGU,Pigu<tm1b(EUCOMM)Hmgu> het early,41.065,HP:0000238,MP:0001891
1465,OMIM:618596,"Epilepsy, Idiopathic Generalized, Susceptibility To, 16",KCNMA1,Kcnma1<em1(IMPC)H> hom early,42.2,HP:0007166,MP:0000745
1466,OMIM:618624,Noonan Syndrome 12,RRAS2,Rras2<em1(IMPC)Ccpcz> hom early,37.705,"HP:0000824,HP:0001873,HP:0001888","MP:0000703,MP:0000709,MP:0008044"
1467,OMIM:618625,"Rothmund-Thomson Syndrome, Type 1",ANAPC1,Anapc1<em1(IMPC)J> het late,42.1,HP:0001118,MP:0001303
1468,OMIM:618641,Infantile Liver Failure Syndrome 3,RINT1,Rint1<tm1b(KOMP)Wtsi> het early,27.99,HP:0001987,"MP:0005567,MP:0005419,MP:0005344,MP:0000195"
1469,OMIM:618643,Spermatogenic Failure 39,DNAH17,Dnah17<tm1e(KOMP)Wtsi> hom early,70.84,"HP:0032558,HP:0032562,HP:0012207,HP:0032559,HP:0032560,HP:0000798,HP:0003251",MP:0001925
1470,OMIM:618651,Halperin-Birk Syndrome,SEC31A,Sec31a<em3(IMPC)H> het early,25.42,HP:0002540,MP:0001392
1471,OMIM:618653,Intellectual Developmental Disorder With Impaired Language And Dysmorphic Facies,DDX6,Ddx6<em1(IMPC)Mbp> het early,19.495,"HP:0000076,HP:0000054,HP:0000126,HP:0000125",MP:0002135
1472,OMIM:618665,"Intellectual Developmental Disorder, Autosomal Recessive 72",METTL5,Mettl5<em1(IMPC)Hmgu> het early,14.085,"HP:0000358,HP:0000400,HP:0000369",MP:0004738
1473,OMIM:618665,"Intellectual Developmental Disorder, Autosomal Recessive 72",METTL5,Mettl5<em1(IMPC)Hmgu> hom early,28.77,"HP:0000718,HP:0007018,HP:0000358,HP:0000369,HP:0000400","MP:0001364,MP:0004738,MP:0020870"
1474,OMIM:618683,"Mitochondrial Complex V (Atp Synthase) Deficiency, Nuclear Type 6",ATP5MK,Atp5mk<tm1b(EUCOMM)Wtsi> hom early,29.61,HP:0001251,MP:0001406
1475,OMIM:618688,"Leukodystrophy, Hypomyelinating, 19, Transient Infantile",TMEM63A,Tmem63a<tm1(KOMP)Vlcg> hom early,32.915,"HP:0001251,HP:0001310",MP:0001406
1476,OMIM:618697,Retinitis Pigmentosa 87 With Choroidal Involvement,RPE65,Rpe65<tm1a(EUCOMM)Hmgu> hom early,47.09,"HP:0000533,HP:0030505,HP:0007737,HP:0000580","MP:0001317,MP:0006243,MP:0001325"
1477,OMIM:618709,Neurodevelopmental Disorder With Nonspecific Brain Abnormalities And With Or Without Seizures,DLL1,Dll1<tm1Gos> het early,48.86,"HP:0001251,HP:0007018,HP:0000733","MP:0002757,MP:0001362,MP:0001399,MP:0002862"
1478,OMIM:618721,Developmental And Epileptic Encephalopathy 82,GOT2,Got2<em1(IMPC)Mbp> het embryo,21.125,HP:0004322,MP:0003984
1479,OMIM:618721,Developmental And Epileptic Encephalopathy 82,GOT2,Got2<em1(IMPC)Mbp> hom embryo,19.645,HP:0004322,MP:0003984
1480,OMIM:618723,Premature Ovarian Failure 16,BNC1,Bnc1<em1(IMPC)H> hom early,42.58,"HP:0008209,HP:0033085",MP:0001926
1481,OMIM:618723,Premature Ovarian Failure 16,BNC1,Bnc1<em1(IMPC)H> hom late,24.795,"HP:0008209,HP:0033085,HP:0008214,HP:0008232","MP:0001147,MP:0002059"
1482,OMIM:618724,Heyn-Sproul-Jackson Syndrome,DNMT3A,Dnmt3a<tm1b(KOMP)Wtsi> het early,19.405,HP:0004325,MP:0003961
1483,OMIM:618724,Heyn-Sproul-Jackson Syndrome,DNMT3A,Dnmt3a<tm1b(KOMP)Wtsi> hom embryo,23.76,HP:0001511,MP:0001697
1484,OMIM:618729,Liang-Wang Syndrome,KCNMA1,Kcnma1<em1(IMPC)H> hom early,32.82,"HP:0001251,HP:0001332","MP:0000745,MP:0001406,MP:0001392"
1485,OMIM:618733,Neuromuscular Oculoauditory Syndrome,DHX16,Dhx16<tm1b(EUCOMM)Wtsi> het early,26.19,"HP:0007858,HP:0007814",MP:0010097
1486,OMIM:618748,Intellectual Developmental Disorder With Hypotonia And Behavioral Abnormalities,CDK8,Cdk8<tm1b(EUCOMM)Hmgu> het early,21.58,HP:0007018,"MP:0001417,MP:0020420"
1487,OMIM:618748,Intellectual Developmental Disorder With Hypotonia And Behavioral Abnormalities,CDK8,Cdk8<tm1b(EUCOMM)Hmgu> hom embryo,25.895,"HP:0001655,HP:0001629,HP:0001636,HP:0004383",MP:0000266
1488,OMIM:618776,"Mitochondrial Complex I Deficiency, Nuclear Type 34",NDUFAF8,Ndufaf8<em1(IMPC)Bay> het embryo,40.895,HP:0001511,"MP:0003984,MP:0001697"
1489,OMIM:618776,"Mitochondrial Complex I Deficiency, Nuclear Type 34",NDUFAF8,Ndufaf8<em1(IMPC)Bay> hom embryo,39.035,HP:0001511,"MP:0003984,MP:0001697"
1490,OMIM:618805,Triokinase And Fmn Cyclase Deficiency Syndrome,TKFC,Tkfc<em1(IMPC)Ccpcz> hom early,33.51,"HP:0001733,HP:0000568,HP:0001397,HP:0001644,HP:0002240,HP:0001935","MP:0000703,MP:0000689,MP:0001333,MP:0000274,MP:0000709,MP:0000691,MP:0000266"
1491,OMIM:618806,"T-Cell Lymphopenia, Infantile, With Or Without Nail Dystrophy, Autosomal Dominant",FOXN1,Foxn1<tm1.1(KOMP)Vlcg> hom early,22.685,"HP:0005403,HP:0031545","MP:0000703,MP:0000705"
1492,OMIM:618808,Intellectual Developmental Disorder With Poor Growth And With Or Without Seizures Or Ataxia,ABCA2,Abca2<em1(IMPC)J> hom early,54.265,"HP:0000718,HP:0002286,HP:0003141","MP:0001399,MP:0000367,MP:0001415,MP:0001566"
1493,OMIM:618811,Mitochondrial Dna Depletion Syndrome 18,SLC25A21,Slc25a21<tm1a(KOMP)Wtsi> hom early,34.715,"HP:0002650,HP:0001508","MP:0001262,MP:0004609"
1494,OMIM:618811,Mitochondrial Dna Depletion Syndrome 18,SLC25A21,Slc25a21<tm1d(KOMP)Wtsi> hom early,37.115,"HP:0001935,HP:0001508","MP:0003961,MP:0005562,MP:0002591"
1495,OMIM:618821,Rhizomelic Limb Shortening With Dysmorphic Features,PKDCC,Pkdcc<em1(IMPC)Mbp> het early,14.385,HP:0012623,"MP:0002989,MP:0002135"
1496,OMIM:618821,Rhizomelic Limb Shortening With Dysmorphic Features,PKDCC,Pkdcc<em1(IMPC)Mbp> hom embryo,48.725,"HP:0001655,HP:0001357,HP:0008905","MP:0000288,MP:0003984,MP:0011495,MP:0000266"
1497,OMIM:618828,"Nabais Sa-De Vries Syndrome, Type 1",SPOP,Spop<tm1b(KOMP)Wtsi> het early,27.69,HP:0100716,MP:0011940
1498,OMIM:618829,"Nabais Sa-De Vries Syndrome, Type 2",SPOP,Spop<tm1b(KOMP)Wtsi> het early,18.395,HP:0000821,MP:0002768
1499,OMIM:618835,Combined Oxidative Phosphorylation Deficiency 40,QRSL1,Qrsl1<em1(IMPC)J> hom early,23.195,HP:0003811,MP:0011100
1500,OMIM:618846,Diets-Jongmans Syndrome,KDM3B,Kdm3b<em1(IMPC)Tcp> het early,22.71,"HP:0000718,HP:0007018,HP:0001385","MP:0000157,MP:0001417"
1501,OMIM:618851,Combined Oxidative Phosphorylation Deficiency 43,TIMM22,Timm22<tm1b(KOMP)Wtsi> het early,22.935,HP:0003236,MP:0005633
1502,OMIM:618856,"Diabetes Mellitus, Permanent Neonatal, 2",KCNJ11,Kcnj11<tm1b(EUCOMM)Wtsi> hom early,45.195,"HP:0003074,HP:0100651","MP:0013278,MP:0005293"
1503,OMIM:618857,"Diabetes Mellitus, Permanent Neonatal, 3",ABCC8,Abcc8<em1(IMPC)J> hom early,45.815,"HP:0003074,HP:0003076,HP:0001518,HP:0100651","MP:0003960,MP:0005293"
1504,OMIM:618863,Retinal Dystrophy With Leukodystrophy,ACBD5,Acbd5<tm1b(EUCOMM)Wtsi> hom early,37.835,"HP:0030147,HP:0002527,HP:0001310,HP:0002515","MP:0001406,MP:0001513"
1505,OMIM:618868,"Neurodegeneration, Childhood-Onset, With Ataxia, Tremor, Optic Atrophy, And Cognitive Decline",SLC44A1,Slc44a1<tm1b(EUCOMM)Hmgu> hom early,28.855,"HP:0000648,HP:0002015,HP:0002073","MP:0003731,MP:0010097,MP:0002574,MP:0001399,MP:0011965"
1506,OMIM:618872,Nizon-Isidor Syndrome,MED12L,Med12l<em1(IMPC)J> hom early,36.29,"HP:0000612,HP:0045075","MP:0002075,MP:0001319"
1507,OMIM:618873,Lissencephaly 10,CEP85L,Cep85l<em1(IMPC)Mbp> hom early,40.31,"HP:0000716,HP:0002353,HP:0000718,HP:0000473","MP:0001489,MP:0001364,MP:0001486,MP:0004738,MP:0020870"
1508,OMIM:618880,"Glaucoma, Primary Closed-Angle",COL18A1,Col18a1<tm1.1(KOMP)Vlcg> hom early,52.045,"HP:0011483,HP:0012796","MP:0005102,MP:0010097,MP:0001325,MP:0001319,MP:0001303,MP:0008259,MP:0002792,MP:0006241"
1509,OMIM:618890,Neurodevelopmental Disorder And Structural Brain Anomalies With Or Without Seizures And Spasticity,PTPN23,Ptpn23<tm1b(EUCOMM)Hmgu> het early,22.675,HP:0000609,MP:0001325
1510,OMIM:618906,"Intellectual Developmental Disorder With Autistic Features And Language Delay, With Or Without Seizures",TANC2,Tanc2<em1(IMPC)Hmgu> hom early,47.9,"HP:0002497,HP:0001363,HP:0007018,HP:0000733","MP:0001392,MP:0001399,MP:0003795,MP:0001415"
1511,OMIM:618912,"Neuronopathy, Distal Hereditary Motor, Autosomal Recessive 8",SORD,Sord<em1(IMPC)Ccpcz> hom early,32.31,HP:0033124,MP:0005565
1512,OMIM:618922,"Neurodevelopmental Disorder With Seizures, Hypotonia, And Brain Imaging Abnormalities",GRM7,Grm7<em1(IMPC)H> hom early,25.39,"HP:0000742,HP:0002015","MP:0001364,MP:0001399"
1513,OMIM:618935,"Granulomatous Disease, Chronic, Autosomal Recessive, 5",CYBC1,Cybc1<tm1a(KOMP)Wtsi> hom early,22.245,"HP:0001433,HP:0001878,HP:0003203,HP:0001888,HP:0001744",MP:0005505
1514,OMIM:618939,Treacher Collins Syndrome 4,POLR1B,Polr1b<em1(IMPC)Tcp> het early,33.505,"HP:0000175,HP:0000347,HP:0000272",MP:0002100
1515,OMIM:618944,"Hyper-Ige Syndrome 5, Autosomal Recessive, With Recurrent Infections",IL6R,Il6ra<em1(IMPC)Wtsi> hom early,18.3,HP:0030388,MP:0010067
